Index,Name,Engine,FuelType,KM,Year,Price,Location
0,Renault Clio Lovely High Spec Clio,1.1,Petrol,87750,2017,12500,Dublin
1,Renault Captur dCi 90 Expression,1.5,Diesel,107000,2018,16950,Kildare
2,Renault Clio E-tech HEV 140 My20 Hybrid Available,1.6,Petrol,20,2022,30870,Carlow
3,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,5950,Dublin
5,Renault clio IV Dynamique,1.1,Petrol,106000,2013,8450,Meath
8,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,10950,Carlow
11,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,3250,Limerick
12,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,7900,Kerry
13,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,1650,Dublin
14,"Renault Clio, 2007",1.1,Petrol,201772,2007,14600,Kilkenny
15,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,16995,Galway
16,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,20745,Louth
17,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,6850,Dublin
20,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,13695,Cork
22,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,16995,Limerick
23,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,6350,Waterford
24,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,1750,Kerry
26,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,22250,Waterford
28,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,26951,Cork
29,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,18450,Kildare
30,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,15495,Clare
31,Renault Laguna 2009,1.9,Diesel,181000,2009,20995,Sligo
32,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,41950,Waterford
33,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,60239,Waterford
34,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,47950,Dublin
35,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,11950,Dublin
39,Renault Zoe Expression,0,Electric,59984,2016,5950,Carlow
40,2013 RENAULT FLUENCE,1.5,Diesel,125000,2013,45488,Dublin
41,Renault Clio Lovely High Spec Clio,1.1,Petrol,87750,2017,8450,Dublin
42,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,3999,Dublin
44,Renault clio IV Dynamique,1.1,Petrol,106000,2013,10950,Meath
47,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,3250,Carlow
50,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,14600,Limerick
51,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,16995,Kerry
52,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,20745,Dublin
53,"Renault Clio, 2007",1.1,Petrol,201772,2007,6850,Kilkenny
54,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,5600,Galway
55,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,13950,Louth
56,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,13695,Dublin
59,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,6350,Cork
61,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,17995,Limerick
62,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,22250,Waterford
63,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,25490,Kerry
65,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,18450,Waterford
