Index,Name,Engine,FuelType,KM,Year,Price,Location
0,Renault Clio Lovely High Spec Clio,1.1,Petrol,87750,2017,12500,Dublin
1,Renault Captur dCi 90 Expression,1.5,Diesel,107000,2018,16950,Kildare
2,Renault Clio E-tech HEV 140 My20 Hybrid Available,1.6,Petrol,20,2022,30870,Carlow
3,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,5950,Dublin
4,Renault MEGANE E-TECH Hatchback,1,Petrol,-1,2022,45488,Louth
5,Renault clio IV Dynamique,1.1,Petrol,106000,2013,8450,Meath
6,"Renault Clio, 2010",1.1,Petrol,-1,2010,3999,Meath
7,"Renault Grand Scenic, 2012 1.5 DCI",1.5,Diesel,-1,2012,-1,Meath
8,Renault Grand Scenic 1.5 DCI Dynamique NAV 110BHP,1.5,Diesel,165242,2018,10950,Carlow
9,Renault Clio 1.5 DCI Dynamique NAV S/S 2016,1.5,Diesel,-1,2016,3250,Tipperary
10,Renault Laguna 2010,1.5,Diesel,-1,2010,18990,Donegal
11,Renault Megane Sport Tourer Iconic TCE 5DR,1.3,Petrol,49265,2019,3250,Limerick
12,2010 Renault Fluence just NCT passed,1.5,Diesel,186000,2010,7900,Kerry
13,Renault Grand Scenic Long Nct  Leather  Pristine,1.5,Diesel,160934,2012,1650,Dublin
14,"Renault Clio, 2007",1.1,Petrol,201772,2007,14600,Kilkenny
15,Renault Trafic Trafic Ll29 Energy DCI 125 BUS,1.6,Diesel,130548,2017,16995,Galway
16,Renault Grand Scenic 1.5 DCI  bose 7 Seater,1.5,Diesel,122103,2016,20745,Louth
17,Renault Clio Dynamique TCe 90,1,Petrol,11014,2022,6850,Dublin
18,Renault Megane 2008,2,Petrol,-1,2008,5600,Donegal
19,Renault Laguna 2010,2,Diesel,-1,2010,13950,Limerick
20,Renault Fluence 1.5 Limited Saloon Diesel Manual,1.5,Diesel,183295,2016,13695,Cork
21,2017 Renault Clio Dynamique 1.2 16V Petrol Low KMs,1.1,Petrol,-1,2017,10695,Limerick
22,2016 Renault Fluence Limited Edition 1.5 dci,1.5,Diesel,156855,2016,16995,Limerick
23,Renault KADJAR Alloy Wheels  Chrome Trim  Front F,1.5,Diesel,79800,2016,6350,Waterford
24,2013 RENAULT CLIO 1.2 PETROL NCT 7/23 TAXED 1/23,1.2,Petrol,145000,2013,1750,Kerry
25,Renault Conquest Scenic 1.5dci Nct 11 23,1.5,Diesel,-1,2008,17995,Westmeath
26,Renault Clio Automatic Lights and Wipers  Multifu,1,Petrol,60872,2021,22250,Waterford
27,"Renault Kadjar, 1.5 DCI **NEW MODEL/IMMACULATE**",1.5,Diesel,-1,2019,25490,Roscommon
28,Renault KADJAR S-edition Blue dCi,1.5,Diesel,29200,2019,26951,Cork
29,Renault Scenic Play Blue DCI 120 My18,1.8,Diesel,9,2020,18450,Kildare
30,Renault KADJAR 1.5 Diesel Dynamique S Nav,1.5,Diesel,124612,2017,15495,Clare
31,Renault Laguna 2009,1.9,Diesel,181000,2009,20995,Sligo
32,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,41950,Waterford
33,** € 9 PER DAY ** 191 RENAULT CLIO,0.9,Petrol,54786,2019,60239,Waterford
34,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,47950,Dublin
35,Renault KADJAR 1.5 dCi 110 Energy Dynamique Nav,1.5,Diesel,118668,2018,11950,Dublin
36,Volkswagen Tiguan 2.0 TDI 150HP R-line,1,Petrol,-1,2022,11950,Louth
37,Audi A4 Reserve for January 2023 35 TDI 163HP S-T,1,Petrol,-1,2022,12500,Louth
38,Audi Q3 35 TDI 150HP S Tronic SE,1,Petrol,-1,2022,12500,Louth
39,Renault Zoe Expression,0,Electric,59984,2016,5950,Carlow
40,2013 RENAULT FLUENCE,1.5,Diesel,125000,2013,45488,Dublin
41,Renault Clio Lovely High Spec Clio,1.1,Petrol,87750,2017,8450,Dublin
42,Renault Grand Scenic 1.5 DCI Expression 110 110BH,1.5,Diesel,241401,2011,3999,Dublin
43,Renault MEGANE E-TECH Hatchback,1,Petrol,-1,2022,-1,Louth
44,Renault clio IV Dynamique,1.1,Petrol,106000,2013,10950,Meath
